SKU_CODE,Product_Description,Sales_Channel,Price,Timestamp
30100459,Chia Seed Cream 50ml,Amazon,1819,2025-02-17 20:59:24
30100003,RWB Foam 150ml,Flipkart,837,2025-02-17 20:59:24
30100413,Pom Collagen Cream 100ml,Flipkart,1997,2025-02-17 20:59:24
30100435,R&C Cream,Flipkart,910,2025-02-17 20:59:24
30100417,R&C Emulsion 150ml,Flipkart,891,2025-02-17 20:59:24
30100554,RWB Foam 100ml,Flipkart,NA,2025-02-17 20:59:24
30100416,R&C Toner,Flipkart,799,2025-02-17 20:59:24
30100412,Pom Collagen Serum 80ml,Flipkart,2025,2025-02-17 20:59:24
30100525,Sun Eco Perfect,Flipkart,1199,2025-02-17 20:59:24
30100459,Chia Seed Cream 50ml,Flipkart,2209,2025-02-17 20:59:24
30100015,Real Nature Rice,Flipkart,99,2025-02-17 20:59:24
30100003,RWB Foam 150ml,Myntra,872,2025-02-17 20:59:24
30100413,Pom Collagen Cream 100ml,Myntra,NA,2025-02-17 20:59:24
30100435,R&C Cream,Myntra,NA,2025-02-17 20:59:24
30100417,R&C Emulsion 150ml,Myntra,NA,2025-02-17 20:59:24
30100554,RWB Foam 100ml,Myntra,437,2025-02-17 20:59:24
30100528,Sun Eco No Shine,Myntra,839,2025-02-17 20:59:24
30100416,R&C Toner,Myntra,629,2025-02-17 20:59:24
30100412,Pom Collagen Serum 80ml,Myntra,1575,2025-02-17 20:59:24
30100525,Sun Eco Perfect,Myntra,NA,2025-02-17 20:59:24
30100459,Chia Seed Cream 50ml,Myntra,NA,2025-02-17 20:59:24
30100435,R&C Cream,Blinkit,NA,2025-02-17 20:59:24
30100417,R&C Emulsion 150ml,Blinkit,NA,2025-02-17 20:59:24
30100554,RWB Foam 100ml,Blinkit,607,2025-02-17 20:59:24
30100416,R&C Toner,Blinkit,500,2025-02-17 20:59:24
30100015,Real Nature Rice,Blinkit,NA,2025-02-17 20:59:24
30100003,RWB Foam 150ml,Faceshop,NA,2025-02-17 20:59:24
30100413,Pom Collagen Cream 100ml,Faceshop,1998,2025-02-17 20:59:24
30100435,R&C Cream,Faceshop,NA,2025-02-17 20:59:24
30100417,R&C Emulsion 150ml,Faceshop,NA,2025-02-17 20:59:24
30100554,RWB Foam 100ml,Faceshop,NA,2025-02-17 20:59:24
30100528,Sun Eco No Shine,Faceshop,1020,2025-02-17 20:59:24
30100416,R&C Toner,Faceshop,NA,2025-02-17 20:59:24
30100412,Pom Collagen Serum 80ml,Faceshop,2025,2025-02-17 20:59:24
30100525,Sun Eco Perfect,Faceshop,1020,2025-02-17 20:59:24
30100459,Chia Seed Cream 50ml,Faceshop,NA,2025-02-17 20:59:24
30100015,Real Nature Rice,Faceshop,NA,2025-02-17 20:59:24
30100003,RWB Foam 150ml,Nykaa,899,2025-02-17 21:29:17
30100413,Pom Collagen Cream 100ml,Nykaa,2350,2025-02-17 21:29:17
30100435,R&C Cream,Nykaa,NA,2025-02-17 21:29:17
30100417,R&C Emulsion 150ml,Nykaa,990,2025-02-17 21:29:17
30100554,RWB Foam 100ml,Nykaa,3500,2025-02-17 21:29:17
30100528,Sun Eco No Shine,Nykaa,1019,2025-02-17 21:29:17
30100416,R&C Toner,Nykaa,NA,2025-02-17 21:29:17
30100412,Pom Collagen Serum 80ml,Nykaa,NA,2025-02-17 21:29:17
30100525,Sun Eco Perfect,Nykaa,NA,2025-02-17 21:29:17
30100459,Chia Seed Cream 50ml,Nykaa,2599,2025-02-17 21:29:17
30100015,Real Nature Rice,Nykaa,100,2025-02-17 21:29:17
30100413,Pom Collagen Cream 100ml,Amazon,1365,2025-02-17 21:29:17
30100435,R&C Cream,Amazon,915,2025-02-17 21:29:17
30100417,R&C Emulsion 150ml,Amazon,891,2025-02-17 21:29:17
30100554,RWB Foam 100ml,Amazon,581,2025-02-17 21:29:17
30100528,Sun Eco No Shine,Amazon,945,2025-02-17 21:29:17
30100416,R&C Toner,Amazon,NA,2025-02-17 21:29:17
30100412,Pom Collagen Serum 80ml,Amazon,1799,2025-02-17 21:29:17
30100525,Sun Eco Perfect,Amazon,1019,2025-02-17 21:29:17
30100459,Chia Seed Cream 50ml,Amazon,1819,2025-02-17 21:29:17
30100003,RWB Foam 150ml,Flipkart,837,2025-02-17 21:29:17
30100413,Pom Collagen Cream 100ml,Flipkart,1997,2025-02-17 21:29:17
30100435,R&C Cream,Flipkart,910,2025-02-17 21:29:17
30100417,R&C Emulsion 150ml,Flipkart,891,2025-02-17 21:29:17
30100554,RWB Foam 100ml,Flipkart,585,2025-02-17 21:29:17
30100416,R&C Toner,Flipkart,799,2025-02-17 21:29:17
30100412,Pom Collagen Serum 80ml,Flipkart,2025,2025-02-17 21:29:17
30100525,Sun Eco Perfect,Flipkart,NA,2025-02-17 21:29:17
30100459,Chia Seed Cream 50ml,Flipkart,2209,2025-02-17 21:29:17
30100015,Real Nature Rice,Flipkart,99,2025-02-17 21:29:17
30100003,RWB Foam 150ml,Myntra,NA,2025-02-17 21:29:17
30100413,Pom Collagen Cream 100ml,Myntra,NA,2025-02-17 21:29:17
30100435,R&C Cream,Myntra,NA,2025-02-17 21:29:17
30100417,R&C Emulsion 150ml,Myntra,693,2025-02-17 21:29:17
30100554,RWB Foam 100ml,Myntra,437,2025-02-17 21:29:17
30100528,Sun Eco No Shine,Myntra,839,2025-02-17 21:29:17
30100416,R&C Toner,Myntra,629,2025-02-17 21:29:17
30100412,Pom Collagen Serum 80ml,Myntra,1575,2025-02-17 21:29:17
30100525,Sun Eco Perfect,Myntra,839,2025-02-17 21:29:17
30100459,Chia Seed Cream 50ml,Myntra,1819,2025-02-17 21:29:17
30100435,R&C Cream,Blinkit,NA,2025-02-17 21:29:17
30100417,R&C Emulsion 150ml,Blinkit,NA,2025-02-17 21:29:17
30100554,RWB Foam 100ml,Blinkit,607,2025-02-17 21:29:17
30100416,R&C Toner,Blinkit,855,2025-02-17 21:29:17
30100015,Real Nature Rice,Blinkit,85,2025-02-17 21:29:17
30100003,RWB Foam 150ml,Faceshop,837,2025-02-17 21:29:17
30100413,Pom Collagen Cream 100ml,Faceshop,1998,2025-02-17 21:29:17
30100435,R&C Cream,Faceshop,910,2025-02-17 21:29:17
30100417,R&C Emulsion 150ml,Faceshop,891,2025-02-17 21:29:17
30100554,RWB Foam 100ml,Faceshop,585,2025-02-17 21:29:17
30100528,Sun Eco No Shine,Faceshop,1020,2025-02-17 21:29:17
30100416,R&C Toner,Faceshop,799,2025-02-17 21:29:17
30100412,Pom Collagen Serum 80ml,Faceshop,2025,2025-02-17 21:29:17
30100525,Sun Eco Perfect,Faceshop,1020,2025-02-17 21:29:17
30100459,Chia Seed Cream 50ml,Faceshop,2339,2025-02-17 21:29:17
30100015,Real Nature Rice,Faceshop,NA,2025-02-17 21:29:17
